Jetz species,Jetz_species_modified,Individuals,Count_F,Count_M,Count_U,Bill_TotalCulmen,Bill_Nares,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Secondary1,Wing_Chord,Hand-Wing Index (Claramunt 2011),Tail_Length,Mass,Habitat,Inferred species?,Species inferred from,Inferred traits?,Traits inferred,Species traits inferred from
Merops nubicus,Merops_nubicus,4,2,2,0,38.175,28.25,6.3,8.1,13.65,57.55,85.95,143.5,40.10435143,163.5,42.4,2,NO,,NO,,
Merops oreobates,Merops_oreobates,4,2,2,0,33.075,25.025,5.55,5.7,9.8,27,73.25,100.25,26.9320432,86.25,23.96,3,NO,,NO,,
Merops orientalis,Merops_orientalis,12,6,6,0,30.8075,22.31166667,5.6675,4.7825,10.43583333,31.51916667,59.11333333,90.6325,34.76123521,97.88,14.8,2,NO,,NO,,
Merops ornatus,Merops_ornatus,4,2,2,0,35.925,27.475,5.8,5.9,10,40.55,65.95,106.5,38.04537753,107.5,29.5,3,NO,,NO,,
Merops persicus,Merops_persicus,4,2,2,0,47.225,37.1,7.35,7.3,13.85,79.75,73.5,153.25,51.99817748,88.75,49.3,3,NO,,NO,,
Merops philippinus,Merops_philippinus,4,2,2,0,39.825,33.8,6.775,7.525,11.575,26.55,104.2,130.75,20.31689527,90.75,34,2,NO,,NO,,
Merops pusillus,Merops_pusillus,4,2,2,0,27.2,20.125,5.025,4.625,9.725,23.5,52.25,75.75,31.05060991,63.25,15.1,2,NO,,NO,,
Merops revoilii,Merops_revoilii,4,2,2,0,29.45,23.125,5.675,4.85,11.2,20.5,54.75,75.25,27.24125424,66,12.9,2,NO,,NO,,
Merops superciliosus,Merops_superciliosus,4,2,2,0,45.025,35.95,7.025,7.45,11.85,60.25,70.75,131,45.85753915,83.75,38.5,2,NO,,NO,,
Merops variegatus,Merops_variegatus,8,3,5,0,32.2925,23.425,5.68125,5.685,11.0725,28.60625,61.9775,90.58375,31.68436729,71.925,22.5,3,NO,,NO,,
Merops viridis,Merops_viridis,8,3,4,1,38.28875,30.03875,7.2225,7.505,10.9575,34.45125,79.5225,113.97375,30.01264923,102.465,34.8,2,NO,,NO,,
Merulaxis ater,Merulaxis_ater,4,2,2,0,20.625,11.675,4.425,5.3,25.775,3.475,61.4,64.875,5.362224394,85,35.03,1,NO,,NO,,
Merulaxis stresemanni,Merulaxis_stresemanni,1,1,0,0,21,10.9,4.9,5.9,25.3,3,72,75,4,97,37,1,NO,,NO,,
