BirdTree,Genera
Donacospiza_albifrons,Donacospiza
Elaenia_parvirostris,Elaenia
Elaenia_spectabilis,Elaenia
Fluvicola_albiventer,Fluvicola
Gubernetes_yetapa,Gubernetes
Icterus_cayanensis,Icterus
Legatus_leucophaius,Legatus
Leptopogon_amaurocephalus,Leptopogon
Pachyramphus_validus,Pachyramphus
Pipraeidea_melanonota,Pipraeidea
Pseudocolopteryx_sclateri,Pseudocolopteryx
Sporophila_collaris,Sporophila
Sublegatus_modestus,Sublegatus
Syndactyla_rufosuperciliata,Syndactyla
Thamnophilus_caerulescens,Thamnophilus
Tityra_inquisitor,Tityra
Chloroceryle_americana,Chloroceryle
Trichothraupis_melanops,Trichothraupis
Xiphocolaptes_major,Xiphocolaptes
Thalurania_furcata,Thalurania
Coccyzus_melacoryphus,Coccyzus
Aegolius_harrisii,Aegolius
Crypturellus_tataupa,Crypturellus
Hylocharis_sapphirina,Hylocharis
Pseudoscops_clamator,Pseudoscops
Asio_flammeus,Asio
Asio_stygius,Asio
Busarellus_nigricollis,Busarellus
Harpyhaliaetus_coronatus,Harpyhaliaetus
Buteogallus_urubitinga,Buteogallus
Buteo_albonotatus,Buteo
Buteogallus_meridionalis,Buteogallus
Buteo_nitidus,Buteo
Campephilus_leucopogon,Campephilus
Cariama_cristata,Cariama
Cathartes_burrovianus,Cathartes
Elaenia_mesoleuca,Elaenia
Anthus_nattereri,Anthus
Culicivora_caudacuta,Culicivora
Cyanocorax_cyanomelas,Cyanocorax
Dendrocolaptes_picumnus,Dendrocolaptes
Dendrocolaptes_platyrostris,Dendrocolaptes
Conopias_trivirgatus,Conopias
Cyanocorax_chrysops,Cyanocorax
Donacobius_atricapilla,Donacobius
Hirundinea_ferruginea,Hirundinea
Pachyramphus_polychopterus,Pachyramphus
Cnemotriccus_fuscatus,Cnemotriccus
Alopochelidon_fucata,Alopochelidon
Caprimulgus_rufus,Caprimulgus
Amblyramphus_holosericeus,Amblyramphus
Ammodramus_humeralis,Ammodramus
Basileuterus_flaveolus,Basileuterus
Basileuterus_leucoblepharus,Basileuterus
Emberizoides_ypiranganus,Emberizoides
Sturnella_superciliaris,Sturnella
Agelasticus_cyanopus,Agelasticus
Cacicus_chrysopterus,Cacicus
Coryphospingus_cucullatus,Coryphospingus
Emberizoides_herbicola,Emberizoides
